,Год,Статья,Название,Всего осуждено,Пожизненное лишение свободы,Лишение свободы,Условное осуждение к лишению свободы,Арест,Ограничение свободы,"Ограничение свободы/ограничение по военной службе, содержание в дисциплинарной воинской части",Исправительные работы,Обязательные работы,Принудительные работы,Штраф,Лишение права занимать определенные должности или заниматься определенной деятельностью,Условное осуждение к иным мерам,Содержание в дисциплинарной воинской части,Ограничение по военной службе,из числа осужденных имеется коррупционный мотив,Лишение свободы: количество осужденных по срокам до 1 года включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 2 лет включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 2 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 3 до 5 лет включительно,Лишение свободы: количество осужденных по срокам свыше 5 до 8 лет включительно,Лишение свободы: количество осужденных по срокам свыше 8 до 10 лет включительно,Лишение свободы: количество осужденных по срокам свыше 10 до 15 лет включительно,Лишение свободы: количество осужденных по срокамсвыше 15 до 20 лет включительно,Наказание назначено ниже низшего предела: лишение свободы,Штраф (основное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Общая сумма штрафов,Освобождено от наказания Освобождено от наказания: по амнистии,Освобождено от наказания Освобождено от наказания: по другим основаниям: от лишения свободы,Освобождено от наказания Освобождено от наказания: по другим основаниям: от иных мер или наказание не назначалось,Оправдано,"Прекращено за отсутствием события, состава, непричастностью к преступлению",Прекращено по амнистии,Прекращено за примирением с потерпевшим,Прекращено в связи с деятельным раскаянием,Прекращено судебный штраф,Прекращено по другим основаниям,Прекращено по другим основаниям: на основании примечаний к статьям УК РФ (в связи с деятельным раскаянием ч. 2 ст. 28 УПК РФ),Судебный штраф: количество осужденных по размеру штрафа до 5 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 100 тыс. руб.,Судебный штраф: общая сумма,Принудительные меры к невменяемым,Дополнительное наказание: лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительное наказание: штраф,"Дополнительное наказание: лишение специального, воинского или почетного звания, классного чина и государственных наград",Дополнительное наказание: ограничение свободы,Штраф (дополнительное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Штраф (дополнительное наказание): общая сумма,"Преступление не является оконченным (приготовление, покушение)","Обстоятельства, исключающие преступность: необходимая оборона","Обстоятельства, исключающие преступность: крайняя необходимость","Обстоятельства, исключающие преступность, предусмотренные статьями 38, 40 - 42 УК РФ",Доп. квалификация: осуждено по числу лиц,Доп. квалификация: осуждено по количеству составов преступлений,Доп. квалификация: оправдано по числу лиц,Доп. квалификация: оправдано по количеству составов преступлений,Доп. квалификация: прекращено по числу лиц,Доп. квалификация: прекращено по количеству составов преступлений,Доп. квалификация: прекращено по иным основаниям по числу лиц,Доп. квалификация: прекращено по иным основаниям по количеству составов преступлений,Доп. квалификация: признано невменяемыми по числу лиц,Доп. квалификация: признано невменяемыми по количеству составов преступлений,Освобождено от наказания по другим основаниям/от лишения свободы,Освобождено от наказания по другим основаниям/от иных мер,Освобождено от наказания по амнисти/от лишения свободы,Освобождено от наказания по амнистии/от иных мер,"Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от лишения свободы","Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от иных мер",Принудительные меры медицинского характера в отношении невменяемого дополнительная квалификация по судебным постановлениям по количеству составов преступлений
14,2014,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",197,0,196,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,2,2.0,,10.0,8,29,8,127,10,45,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,0,0,,1,0.0,,,,,,11,8.0,0.0,0.0,140.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,36.0,0.0,0.0,0.0,45,227.0,,,,,,,,,,,,,,,
15,2014,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,1,3,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,
16,2014,133ч.2,"То же деяние, совершенное в отношении несовершеннолетнего (несовершеннолетней)",19,0,17,2,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,3,7.0,,5.0,2,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,1,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,33.0,,,,,,,,,,,,,,,
17,2015,131ч.3,Изнасилование при особо отягчающих обстоятельствах,419,0,393,26,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,5.0,,2.0,57,126,155,48,0,31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,0,0,,3,0.0,,,,,,10,4.0,0.0,0.0,193.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,52.0,0.0,0.0,0.0,87,194.0,7.0,7.0,3.0,4.0,0.0,0.0,10.0,10.0,,,,,,,
18,2015,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",246,0,245,0,0.0,0.0,,0,0,0.0,1,0,0,0.0,0.0,,0,3.0,,5.0,9,26,7,184,11,26,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,15,20.0,0.0,1.0,153.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,28.0,0.0,0.0,0.0,54,344.0,8.0,14.0,8.0,11.0,0.0,0.0,15.0,15.0,,,,,,,
19,2015,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",5,0,5,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,1,4,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,1,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
21,2016,131ч.3,Изнасилование при особо отягчающих обстоятельствах,396,0,381,14,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,6.0,,9.0,45,96,180,45,0,27,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2,0,0,0,0,,4,0.0,,,,,,9,4.0,0.0,3.0,170.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,38.0,0.0,0.0,0.0,75,234.0,6.0,56.0,2.0,26.0,5.0,9.0,9.0,9.0,,,,,,,
22,2016,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",215,0,213,0,0.0,1.0,,0,1,0.0,0,0,0,0.0,0.0,,1,5.0,,1.0,5,29,6,150,16,24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,5,0.0,,,,,,10,4.0,0.0,0.0,135.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,21.0,0.0,0.0,0.0,50,294.0,5.0,10.0,4.0,4.0,1.0,2.0,10.0,10.0,,,,,,,
23,2016,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",3,1,2,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
24,2016,133ч.2,"То же деяние, совершенное в отношении несовершеннолетнего (несовершеннолетней)",23,0,12,10,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,3,7.0,,2.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,1,0,,1,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,34.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
25,2017,131ч.3,Изнасилование при особо отягчающих обстоятельствах,396,0,387,9,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,3.0,,6.0,53,99,194,32,0,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,0,0,0.0,4,0.0,,,,,,9,7.0,0.0,0.0,198.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,36.0,0.0,0.0,0.0,84,255.0,3.0,3.0,3.0,3.0,2.0,2.0,9.0,9.0,,,,,,,
26,2017,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в редакции ФЗ от 27.12.2009 № 377-ФЗ)",221,0,219,0,0.0,1.0,,0,1,0.0,0,0,0,0.0,0.0,,1,1.0,,5.0,10,26,5,158,13,15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,0,0,0.0,3,0.0,,,,,,14,10.0,0.0,0.0,126.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,22.0,0.0,0.0,0.0,61,219.0,3.0,6.0,5.0,9.0,1.0,1.0,14.0,14.0,,,,,,,
27,2017,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",5,0,5,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,1,0,1,3,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
28,2017,133ч.2,"Понуждение к действиям сексуального характера, совершенное в отношении несовершеннолетнего (несовершеннолетней)",33,0,16,15,0.0,0.0,,0,0,1.0,1,0,0,0.0,0.0,,2,10.0,,3.0,1,0,0,0,0,0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,2,0,5.0,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
29,2018,131ч.3,Изнасилование при особо отягчающих обстоятельствах,325,0,317,6,0.0,1.0,,1,0,0.0,0,0,0,0.0,0.0,,0,2.0,,12.0,48,107,134,14,0,41,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,0.0,1.0,164.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,88,313.0,6.0,15.0,3.0,3.0,5.0,14.0,10.0,10.0,,,,,,,
30,2018,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в редакции ФЗ от 27.12.2009 № 377-ФЗ)",222,0,218,0,0.0,1.0,,0,1,0.0,0,0,0,0.0,0.0,,1,0.0,,6.0,7,27,1,162,14,17,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,8,8.0,0.0,0.0,128.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,47,484.0,3.0,5.0,4.0,6.0,2.0,12.0,8.0,8.0,,,,,,,
31,2018,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",10,0,10,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,1,1,8,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
32,2018,133ч.2,"Понуждение к действиям сексуального характера, совершенное в отношении несовершеннолетнего (несовершеннолетней)",20,0,11,5,0.0,0.0,,0,1,2.0,0,0,0,0.0,0.0,,1,6.0,,3.0,1,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,1,0,1.0,0,0.0,0.0,0.0,0.0,1.0,180000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,186.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,,,,,,,
34,2019,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в редакции ФЗ от 27.12.2009 № 377-ФЗ)",197,0,195,0,0.0,2.0,,0,0,0.0,0,0,0,0.0,0.0,,0,2.0,,2.0,5,19,5,153,9,14,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,5,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,10,9.0,0.0,1.0,122.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,57,303.0,1.0,1.0,0.0,0.0,3.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,2019,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",5,0,5,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,4,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,2019,133ч.2,"Понуждение к действиям сексуального характера, совершенное в отношении несовершеннолетнего (несовершеннолетней)",15,0,6,8,0.0,0.0,,0,0,1.0,0,0,0,0.0,0.0,,1,2.0,,2.0,1,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,5,0,11.0,1,0.0,0.0,7.0,4.0,0.0,345000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,72.0,1.0,1.0,1.0,1.0,4.0,4.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,2020,131ч.3,Изнасилование при особо отягчающих обстоятельствах,236,0,225,9,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,1,3.0,,5.0,35,62,109,10,0,26,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,3,0,0,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,,4,6.0,0.0,0.0,132.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,0.0,0.0,83,306.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0
38,2020,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в редакции ФЗ от 27.12.2009 № 377-ФЗ)",194,0,192,0,0.0,2.0,,0,0,0.0,0,0,0,0.0,0.0,,0,3.0,,4.0,7,22,3,144,9,22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,12,10.0,0.0,0.0,124.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,0.0,0.0,44,328.0,6.0,7.0,8.0,8.0,2.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0
39,2020,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,1,3,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020,133ч.2,"Понуждение к действиям сексуального характера, совершенное в отношении несовершеннолетнего (несовершеннолетней)",15,0,7,7,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,3,3.0,,1.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,6,0,7.0,2,0.0,0.0,2.0,5.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,29,106.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,2009,242.1ч.2,"Те же деяния, совершенные при отягчающих обстоятельствах",44,0,17,27,,,0.0,0,0,,0,0,0,,,,1,,9.0,,7,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,2,,,,,,,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
2,2010,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет",1368,0,315,903,0.0,16.0,,3,13,,9,0,0,0.0,0.0,0.0,110,,195.0,,10,0,0,0,0,0,,,,,,,,,,1.0,85.0,23.0,1,3,0,446,26,,8,3.0,,,,,,11,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,96,568.0,,,,,,,,,,,,,,,
3,2010,134ч.2,"Те же деяния, совершенные с лицом, не достигшим четырнадцатилетнего возраста",134,0,50,84,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,3,,32.0,,15,0,0,0,0,2,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,3,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,4,31.0,,,,,,,,,,,,,,,
4,2010,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста",4,0,4,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,1.0,,1,1,0,1,0,0,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,
5,2010,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой",0,0,0,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,0.0,,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,
6,2010,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста",154,0,111,33,0.0,0.0,,0,0,,10,0,0,0.0,0.0,0.0,32,,79.0,,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0,0,0,7,0,,3,0.0,,,,,,16,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,106,378.0,,,,,,,,,,,,,,,
7,2010,135ч.2,"То же деяние, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста",73,0,53,19,0.0,0.0,,1,0,,0,0,0,0.0,0.0,0.0,0,,28.0,,24,1,0,0,0,1,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,1,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,16,66.0,,,,,,,,,,,,,,,
8,2010,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста",146,0,125,21,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,14.0,,44,59,8,0,0,5,,,,,,,,,,0.0,0.0,0.0,1,0,0,0,0,,1,0.0,,,,,,31,7.0,0.0,0.0,1.0,,,,,,,,,,,,,,9,49.0,,,,,,,,,,,,,,,
9,2010,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой",4,0,3,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,0.0,,1,2,0,0,0,1,,,,,,,,,,0.0,1.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1,7.0,,,,,,,,,,,,,,,
11,2010,242.1ч.2,"Те же деяния, совершенные при отягчающих обстоятельствах",58,0,11,47,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,5.0,,4,2,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3,99.0,,,,,,,,,,,,,,,
12,2011,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет",1306,0,252,882,0.0,15.0,,4,6,,11,1,0,0.0,0.0,1.0,97,116.0,,29.0,10,0,0,0,0,0,7.0,4.0,,0.0,,,0.0,0.0,,1.0,117.0,17.0,1,1,0,441,32,,16,10.0,,,,,,8,14.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,93,718.0,,,,,,,,,,,,,,,
13,2011,134ч.2,"Те же деяния, совершенные с лицом, не достигшим четырнадцатилетнего возраста",208,0,97,109,0.0,0.0,,0,1,,1,0,0,0.0,0.0,0.0,2,8.0,,54.0,32,1,0,0,0,8,0.0,1.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1,0,1,0,0,,1,0.0,,,,,,7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,7,83.0,,,,,,,,,,,,,,,
14,2011,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста",7,0,7,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,1,3,2,1,0,1,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,10.0,,,,,,,,,,,,,,,
15,2011,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой",5,0,5,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,3,0,0,1,1,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,
16,2011,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста",93,0,55,23,0.0,8.0,,0,0,,6,0,0,0.0,0.0,0.0,20,27.0,,8.0,0,0,0,0,0,0,1.0,4.0,,1.0,,,0.0,0.0,,0.0,1.0,0.0,0,0,0,5,0,,1,0.0,,,,,,9,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,87,316.0,,,,,,,,,,,,,,,
17,2011,135ч.2,"То же деяние, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста",93,0,71,21,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,2,1.0,,34.0,34,0,0,0,0,6,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,0,0,0,0,0,,0,0.0,,,,,,9,2.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,52,143.0,,,,,,,,,,,,,,,
